reporting_month,calculated_total_potable_water_production_gallons_ag_excluded
2014-06-15,205363142320
2014-07-15,220855733572
2014-08-15,206893498224
2014-09-15,191502185258
2014-10-15,176793842352
2014-11-15,138424788997
2014-12-15,106743230943
2015-01-15,115615370933
2015-02-15,111558374518
2015-03-15,138959287720
2015-04-15,147069541209
2015-05-15,145886657560
2015-06-15,159414608186
2015-07-15,164208584485
2015-08-15,171567492085
2015-09-15,157112721010
2015-10-15,146464571352
2015-11-15,121736141894
2015-12-15,110342393345
2016-01-15,99393819777
2016-02-15,104030857715
2016-03-15,110170808846
2016-04-15,125660208881
2016-05-15,147840804458
2016-06-15,172321174152
2016-07-15,190987145217
2016-08-15,192985951031
2016-09-15,174168995040
2016-10-15,152120322796
2016-11-15,123647971902
2016-12-15,107395508418
2017-01-15,95067219095
2017-02-15,85604672175
2017-03-15,113444437720
2017-04-15,133032189135
2017-05-15,164588334431
2017-06-15,181945674495
2017-07-15,202975313554
2017-08-15,199845457679
2017-09-15,181425330427
2017-10-15,171865162185
2017-11-15,133789961077
2017-12-15,127099670721
2018-01-15,113446940939
2018-02-15,112043041431
2018-03-15,106195993521
2018-04-15,131739831604
2018-05-15,159077836751
2018-06-15,177641844842
2018-07-15,200198540003
2018-08-15,196028237557
2018-09-15,174680507049
2018-10-15,157078766756
2018-11-15,135157372996
2018-12-15,104880140465
2019-01-15,98728524180
2019-02-15,84535143908
2019-03-15,98878885764
2019-04-15,129809885343
2019-05-15,137627325909
2019-06-15,159109022168
2019-07-15,181042581072
2019-08-15,187275096542
2019-09-15,169756765163
2019-10-15,158190068671
2019-11-15,131279378358
2019-12-15,97213518262
2020-01-15,102712318939
2020-02-15,111488902651
2020-03-15,109583954975
2020-04-15,114349574510
2020-05-15,160988955842
2020-06-15,177079623971
2020-07-15,195068802581
2020-08-15,198693038881
2020-09-15,187755850305
2020-10-15,176004966750
2020-11-15,140999417004
2020-12-15,130158137884
2021-01-15,115492700321
2021-02-15,105947387205
2021-03-15,123185853555
2021-04-15,148498421914
2021-05-15,174316584872
2021-06-15,187830605001
2021-07-15,200548116108
2021-08-15,197880384585
2021-09-15,180934524222
2021-10-15,152981542613
2021-11-15,130106251199
2021-12-15,109776459151
2022-01-15,109761393835
2022-02-15,115216804554
2022-03-15,133709937778
2022-04-15,132042309072
